subzone,cases,normalize by sum,normalize by max,lat,lon,area,population
Tuas Promenade,0,0,0,103.8456683,1.447848393,3.467340149,10
Tuas View,0,0,0,103.859361,1.31140824,0.761572749,10
Tuas View Extension,0,0,0,103.7629662,1.312706618,0.751661012,0
Tukang,0,0,0,103.8459848,1.276274341,0.146221328,10
Turf Club,0,0,0,103.6674949,1.31533905,3.276142616,660
Tyersall,0,0,0,103.8479463,1.36470923,0.549057593,3520
Ulu Pandan,0,0,0,103.7597566,1.433614317,3.669864624,10730
Upper Paya Lebar,0,0,0,103.9776049,1.365349687,4.872045699,15540
Upper Thomson,4,0.005747126,0.038095238,103.83926,1.373543211,1.051501992,30340
Victoria,0,0,0,103.8585487,1.270492,1.132733209,2060
Waterway East,0,0,0,103.7949291,1.428927056,1.583698646,28340
Wenya,0,0,0,103.8449256,1.305047186,0.546110069,8610
West Coast,0,0,0,103.8845954,1.374970573,1.335335745,5890
Western Water Catchment,0,0,0,103.8778529,1.346645826,0.902916713,900
Woodgrove,0,0,0,103.7424823,1.356256899,1.231619166,35850
Woodlands East,3,0.004310345,0.028571429,103.8088676,1.287774727,1.035353002,95510
Woodlands Regional Centre,0,0,0,103.7666061,1.385591922,0.678275722,0
Woodlands South,0,0,0,103.9733061,1.367857725,0.974777702,35840
Woodlands West,0,0,0,103.83886,1.311619348,0.214614206,32890
Woodleigh,0,0,0,103.8736547,1.332835659,0.871952091,2440
Xilin,0,0,0,103.8608331,1.322210094,1.383495702,1920
Yew Tee,0,0,0,103.8973623,1.330368526,1.887183009,43710
Yio Chu Kang,0,0,0,103.8433844,1.316962281,1.35397565,30
Yio Chu Kang East,0,0,0,103.8824624,1.409901984,3.935160862,4080
Yio Chu Kang North,0,0,0,103.8407298,1.2822873,0.093589765,0
Yio Chu Kang West,0,0,0,103.8974551,1.350428547,1.983945395,26550
Yishun Central,0,0,0,103.8210974,1.32660303,1.235847614,1490
Yishun East,3,0.004310345,0.028571429,103.8291986,1.386026344,3.350417105,54880
Yishun South,0,0,0,103.790479,1.439940172,0.940992542,38840
Yishun West,47,0.067528736,0.447619048,103.8571563,1.303956263,0.120752542,57890
Yuhua East,0,0,0,103.9291451,1.340509488,2.390858835,27460
Yuhua West,0,0,0,103.7720361,1.368879305,1.241905773,20870
Yunnan,0,0,0,103.7759002,1.278178789,7.638551021,70890
