Source,Target,Weight
Farrer Park,Coronation Road,17
Western Water Catchment,Penjuru Crescent,8
Farrer Court,Dhoby Ghaut,7
Kim Keat,Pasir Ris West,4
Punggol Town Centre,Sembawang Hills,3
Rochor Canal,Dover,3
Straits View,Bras Basah,3
Jurong West Central,Serangoon Garden,24
Leonie Hill,Hong Kah North,3
Joo Koon,Orange Grove,2
Clarke Quay,Commonwealth,9
Yuhua West,Yio Chu Kang East,3
Sembawang East,Xilin,3
Tanjong Rhu,Bukit Merah,6
Bendemeer,Mount Pleasant,13
Tagore,Fajar,6
Faber,Woodlands West,4
Chong Boon,Mandai East,5
Bangkit,Pei Chun,4
Sentosa,Kaki Bukit,35
Little India,Oxley,9
Sembawang Straits,Changi Airport,11
Dhoby Ghaut,Midview,28
Faber,Senoko South,7
Tai Seng,Boon Teck,13
Bukit Batok Central,Clifford Pier,2
Sembawang Straits,Lorong Ah Soo,1
Alexandra Hill,Admiralty,2
Pang Sua,Chong Boon,5
Mount Pleasant,Turf Club,2
Tukang,Hillview,2
Chinatown,Clifford Pier,4
Sembawang North,Moulmein,10
Northshore,Singapore General Hospital,3
Pasir Panjang 1,Central Water Catchment,14
Bukit Merah,Hougang East,5
Dhoby Ghaut,Seletar Aerospace Park,8
Sembawang North,Dover,4
Yishun East,Boon Keng,9
Bedok Reservoir,Robertson Quay,7
Woodleigh,Tuas Promenade,4
Gali Batu,Pasir Ris Park,1
Telok Blangah Drive,Lorong 8 Toa Payoh,7
Commonwealth,Macpherson,6
Yuhua West,Bencoolen,6
Toh Tuck,Bukit Merah,4
Guilin,Newton Circus,2
Bayshore,Chinatown,9
Woodlands South,Paya Lebar East,4
Holland Drive,Phillip,5
Serangoon North,Bayshore,2
Central Water Catchment,Tuas View Extension,6
Toa Payoh West,Selegie,4
Keat Hong,Tanglin,4
Ang Mo Kio Town Centre,Toh Tuck,3
Commonwealth,Dover,14
Brickworks,Defu Industrial Park,1
Gul Circle,Woodlands West,7
Central Subzone,Kent Ridge,4
Lorong Halus,Woodgrove,3
Cheng San,Dairy Farm,3
Istana Negara,Peng Siang,5
Siglap,Bangkit,5
Mandai East,Upper Paya Lebar,1
Boon Keng,Marina East,3
Pasir Panjang 1,Margaret Drive,4
Toa Payoh West,China Square,3
Tai Seng,Yio Chu Kang East,5
Kallang Bahru,Maxwell,2
Pasir Panjang 1,Seletar Aerospace Park,2
Geylang Bahru,Pasir Panjang 1,5
Marine Parade,Jurong River,5
Lorong Halus,Boulevard,6
Holland Road,Telok Blangah Drive,8
Rochor Canal,Moulmein,6
Pasir Ris Drive,Bukit Batok West,9
Cairnhill,Redhill,9
Shangri-La,Pasir Panjang 2,2
Benoi Sector,Chong Boon,6
Yishun West,Alexandra North,2
Pang Sua,Anchorvale,4
Serangoon North,Ghim Moh,1
Victoria,Springleaf,2
Maxwell,Potong Pasir,1
Tukang,Shangri-La,2
Kampong Glam,Hougang Central,1
Yishun South,Central Subzone,7
Sembawang Straits,Gali Batu,1
Taman Jurong,Kampong Glam,1
Pasir Ris Wafer Fab Park,Victoria,2
Tampines East,Penjuru Crescent,4
Kranji,Cheng San,9
Macpherson,Sembawang East,3
Lim Chu Kang,Springleaf,1
Sembawang Hills,Tiong Bahru,3
Woodgrove,Siglap,5
Pasir Panjang 1,Midview,2
Jurong River,Clementi Woods,6
Tiong Bahru Station,The Wharves,1
Pasir Ris Central,Senoko North,2
Tengah,National University of S'pore,2
Boon Keng,Tuas Bay,1
Boon Keng,Tengeh,1
International Business Park,Yio Chu Kang,2
Airport Road,Airport Road,2
Straits View,Boon Keng,1
Tukang,Telok Blangah Drive,5
Bayshore,Central Subzone,4
Crawford,Toh Guan,11
Pearl's Hill,Pasir Ris Park,2
Tuas North,Rivervale,2
Woodlands West,Faber,4
Jurong Island and Bukom,Bayfront Subzone,2
Mandai West,Fernvale,1
Shipyard,North-Eastern Islands,1
Kian Teck,Pei Chun,3
Mount Pleasant,Loyang East,1
Dhoby Ghaut,Sembawang Straits,4
Pandan,Peng Siang,4
Lorong Chuan,Northshore,2
Tanglin,Keat Hong,5
One Tree Hill,Ghim Moh,6
Lorong Ah Soo,Telok Blangah Way,1
Telok Blangah Rise,Boon Lay Place,3
Telok Blangah Drive,Tukang,3
Dairy Farm,Mountbatten,2
Ridout,Lower Seletar,1
Bukit Merah,Hillcrest,3
Boon Lay Place,Leonie Hill,1
Tuas View Extension,Nature Reserve,2
Leonie Hill,Frankel,1
Jurong Port,Tuas North,1
Toh Guan,Paya Lebar East,1
Jurong Port,Redhill,1
Shipyard,Tampines East,3
Pasir Ris Drive,Malcolm,2
Paya Lebar East,Goodwood Park,1
Pasir Ris West,Goodwood Park,3
Potong Pasir,Tuas North,3
Sennett,Defu Industrial Park,2
Turf Club,Waterway East,1
Pasir Ris Wafer Fab Park,Boon Lay Place,1
