subzone,cases,normalize by sum,normalize by max,population,pop_density,lon,lat,area
Telok Blangah Drive,0,0,0,16000,7529.220657,103.8097286,1.276477075,1.461843201
Telok Blangah Rise,0,0,0,13820,55482.71654,103.8242851,1.274249186,0.536244445
Telok Blangah Way,0,0,0,10690,4725.817576,103.8202075,1.277519861,0.27816173
Tengah,0,0,0,10,3.023473433,103.7273656,1.362468981,7.406328832
Tengeh,0,0,0,0,0,103.6524399,1.337763403,2.262042457
The Wharves,0,0,0,0,0,103.8245813,1.464596147,1.643823248
Tiong Bahru,0,0,0,12190,6764.116361,103.8317306,1.283235809,0.450289947
Tiong Bahru Station,0,0,0,16670,11577.14711,103.8266043,1.284069059,0.352480501
Toa Payoh Central,0,0,0,30740,9597.276519,103.8466554,1.332948668,1.112630534
Toa Payoh West,0,0,0,13360,7140.836161,103.8422603,1.339472076,1.042310073
Toh Guan,0,0,0,16510,13022.3192,103.7450231,1.336327856,0.750500862
Toh Tuck,0,0,0,40,43.20076801,103.7565684,1.332352687,2.087856334
Townsville,0,0,0,23770,9172.091095,103.8479463,1.36470923,0.549057593
Trafalgar,5,0.007183908,0.047619048,44800,46287.53554,103.8812752,1.38083206,1.752868799
Tuas Bay,0,0,0,20,4.631862877,103.6448491,1.317995929,3.218768761
Tuas North,0,0,0,20,9.486189843,103.6511983,1.326764411,3.275898838
Tuas Promenade,0,0,0,10,2.884055088,103.6347309,1.330013784,3.203502563
Tuas View,0,0,0,10,13.13072193,103.6343326,1.30515702,5.703157003
Tuas View Extension,0,0,0,0,0,103.6321377,1.259379081,27.84395407
Tukang,0,0,0,10,68.38947599,103.7088285,1.326549838,1.890403914
Turf Club,0,0,0,660,201.4564313,103.7622664,1.42070892,3.307454232
Tyersall,0,0,0,3520,6410.985013,103.8124191,1.314856617,2.168731186
Ulu Pandan,0,0,0,10730,2923.813573,103.7821388,1.315661152,1.234429618
Upper Paya Lebar,0,0,0,15540,3189.625254,103.8778529,1.346645826,0.902916713
Upper Thomson,4,0.005747126,0.038095238,30340,28853.96341,103.8307513,1.354995413,3.879063347
Victoria,0,0,0,2060,1818.610052,103.8529754,1.299819027,0.215284411
Waterway East,0,0,0,28340,17894.81861,103.9152622,1.401557433,1.49649941
Wenya,0,0,0,8610,15766.05247,103.7076367,1.355761594,1.984519091
West Coast,0,0,0,5890,4410.875708,103.7551065,1.316165008,0.726081885
Western Water Catchment,0,0,0,900,996.7696766,103.6924053,1.381525664,71.82417695
Woodgrove,0,0,0,35850,29108.0238,103.7786865,1.428420454,1.673600531
Woodlands East,3,0.004310345,0.028571429,95510,92248.73045,103.8020617,1.441315534,2.56594592
Woodlands Regional Centre,0,0,0,0,0,103.7841612,1.438975389,0.598563407
Woodlands South,0,0,0,35840,36767.35724,103.7949291,1.428927056,1.583698646
Woodlands West,0,0,0,32890,153251.7377,103.7758512,1.439100163,1.656685317
